,Unnamed: 0.1,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,Opposing Odds,TEAM_NAME,GAME_DATE,Model Win Prob,WL,Difference,Profit
318,328,328,2023-11-15,Portland Trail Blazers vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,-440,0.8148148148148148,340,Cleveland Cavaliers,2023-11-15,0.40529814,1,-0.4095166748148148,-100.0
1251,1297,1297,2024-01-24,Detroit Pistons vs Charlotte Hornets,draftkings,Detroit Pistons,-148,0.5967741935483871,124,Detroit Pistons,2024-01-24,0.18778752,1,-0.40898667354838714,-100.0
2069,2144,2144,2024-03-26,Milwaukee Bucks vs Los Angeles Lakers,draftkings,Los Angeles Lakers,320,0.238095238095238,-410,Los Angeles Lakers,2024-03-26,0.6461748,1,0.408079561904762,320.0
43,44,44,2023-10-27,San Antonio Spurs vs Houston Rockets,draftkings,Houston Rockets,110,0.4761904761904761,-135,Houston Rockets,2023-10-27,0.068250924,0,-0.4079395521904761,74.07407407407408
193,199,199,2023-11-06,Minnesota Timberwolves vs Boston Celtics,draftkings,Minnesota Timberwolves,142,0.4132231404958678,-170,Minnesota Timberwolves,2023-11-06,0.8205104,1,0.4072872595041322,142.0
1377,1427,1427,2024-02-01,Boston Celtics vs Los Angeles Lakers,draftkings,Los Angeles Lakers,425,0.1904761904761904,-575,Los Angeles Lakers,2024-02-01,0.5962125,1,0.4057363095238096,425.0
52,54,54,2023-10-28,Detroit Pistons vs Chicago Bulls,draftkings,Chicago Bulls,-118,0.5412844036697247,-102,Chicago Bulls,2023-10-28,0.13647203,0,-0.4048123736697248,98.03921568627452
1741,1803,1803,2024-03-03,Dallas Mavericks vs Philadelphia 76ers,draftkings,Philadelphia 76ers,285,0.2597402597402597,-360,Philadelphia 76ers,2024-03-03,0.6645403,1,0.40480004025974026,285.0
1061,1099,1099,2024-01-10,Detroit Pistons vs San Antonio Spurs,draftkings,San Antonio Spurs,-166,0.6240601503759399,140,San Antonio Spurs,2024-01-10,0.22023709,1,-0.40382306037593985,-100.0
1814,1879,1879,2024-03-08,Washington Wizards vs Charlotte Hornets,draftkings,Washington Wizards,-142,0.5867768595041323,120,Washington Wizards,2024-03-08,0.185011,1,-0.40176585950413224,-100.0
298,307,307,2023-11-14,Utah Jazz vs Portland Trail Blazers,draftkings,Utah Jazz,-258,0.7206703910614525,210,Utah Jazz,2023-11-14,0.31906825,1,-0.4016021410614525,-100.0
1929,1999,1999,2024-03-16,Indiana Pacers vs Brooklyn Nets,draftkings,Indiana Pacers,-380,0.7916666666666666,300,Indiana Pacers,2024-03-16,0.39027488,1,-0.40139178666666664,-100.0
2362,2447,2447,2024-04-14,San Antonio Spurs vs Detroit Pistons,draftkings,San Antonio Spurs,-230,0.696969696969697,190,San Antonio Spurs,2024-04-14,0.29597166,1,-0.400998036969697,-100.0
531,549,549,2023-12-01,Boston Celtics vs Philadelphia 76ers,draftkings,Philadelphia 76ers,210,0.3225806451612903,-258,Philadelphia 76ers,2023-12-01,0.7235482,0,0.40096755483870966,-100.0
786,815,815,2023-12-21,Memphis Grizzlies vs Indiana Pacers,draftkings,Memphis Grizzlies,-185,0.6491228070175439,154,Memphis Grizzlies,2023-12-21,0.24837458,1,-0.40074822701754387,-100.0
1077,1116,1116,2024-01-11,Milwaukee Bucks vs Boston Celtics,draftkings,Boston Celtics,210,0.3225806451612903,-245,Boston Celtics,2024-01-11,0.7230035,0,0.4004228548387097,-100.0
438,451,451,2023-11-24,Indiana Pacers vs Detroit Pistons,draftkings,Indiana Pacers,-355,0.7802197802197802,280,Indiana Pacers,2023-11-24,0.37987155,1,-0.4003482302197802,-100.0
1328,1377,1377,2024-01-29,Boston Celtics vs New Orleans Pelicans,draftkings,New Orleans Pelicans,260,0.2777777777777778,-325,New Orleans Pelicans,2024-01-29,0.6779763,0,0.4001985222222222,-100.0
8,8,8,2023-10-25,Orlando Magic vs Houston Rockets,draftkings,Houston Rockets,142,0.4132231404958678,-170,Houston Rockets,2023-10-25,0.013537883,0,-0.3996852574958678,58.8235294117647
1295,1342,1342,2024-01-27,Detroit Pistons vs Washington Wizards,draftkings,Detroit Pistons,-142,0.5867768595041323,120,Detroit Pistons,2024-01-27,0.18794592,0,-0.3988309395041323,120.0
1860,1927,1927,2024-03-11,Detroit Pistons vs Charlotte Hornets,draftkings,Detroit Pistons,-166,0.6240601503759399,140,Detroit Pistons,2024-03-11,0.22540483,1,-0.39865532037593987,-100.0
2179,2258,2258,2024-04-03,Charlotte Hornets vs Portland Trail Blazers,draftkings,Charlotte Hornets,-130,0.5652173913043478,110,Charlotte Hornets,2024-04-03,0.16670612,0,-0.39851127130434777,110.0
994,1029,1029,2024-01-05,Chicago Bulls vs Charlotte Hornets,draftkings,Chicago Bulls,-360,0.782608695652174,285,Chicago Bulls,2024-01-05,0.3842273,1,-0.39838139565217395,-100.0
344,354,354,2023-11-17,Los Angeles Clippers vs Houston Rockets,draftkings,Houston Rockets,195,0.3389830508474576,-238,Houston Rockets,2023-11-17,0.7371847,0,0.3982016491525424,-100.0
1339,1388,1388,2024-01-29,San Antonio Spurs vs Washington Wizards,draftkings,San Antonio Spurs,-180,0.6428571428571429,150,San Antonio Spurs,2024-01-29,0.24854566,0,-0.3943114828571429,150.0
1986,2057,2057,2024-03-20,Boston Celtics vs Milwaukee Bucks,draftkings,Milwaukee Bucks,285,0.2597402597402597,-360,Milwaukee Bucks,2024-03-20,0.6537015,0,0.39396124025974033,-100.0
2029,2102,2102,2024-03-23,Atlanta Hawks vs Charlotte Hornets,draftkings,Atlanta Hawks,-395,0.797979797979798,310,Atlanta Hawks,2024-03-23,0.40499654,1,-0.392983257979798,-100.0
1300,1347,1347,2024-01-27,Denver Nuggets vs Philadelphia 76ers,draftkings,Philadelphia 76ers,164,0.3787878787878788,-198,Philadelphia 76ers,2024-01-27,0.77175266,0,0.3929647812121212,-100.0
1987,2058,2058,2024-03-20,Toronto Raptors vs Sacramento Kings,draftkings,Sacramento Kings,-575,0.8518518518518519,425,Sacramento Kings,2024-03-20,0.45979774,1,-0.39205411185185185,-100.0
1506,1561,1561,2024-02-10,Charlotte Hornets vs Memphis Grizzlies,draftkings,Memphis Grizzlies,-170,0.6296296296296297,142,Memphis Grizzlies,2024-02-10,0.23903312,0,-0.39059650962962966,142.0
2007,2079,2079,2024-03-21,Denver Nuggets vs New York Knicks,draftkings,New York Knicks,320,0.238095238095238,-410,New York Knicks,2024-03-21,0.6276338,0,0.389538561904762,-100.0
473,488,488,2023-11-27,Detroit Pistons vs Washington Wizards,draftkings,Detroit Pistons,-166,0.6240601503759399,140,Detroit Pistons,2023-11-27,0.23463337,0,-0.38942678037593986,140.0
1469,1523,1523,2024-02-07,Los Angeles Clippers vs New Orleans Pelicans,draftkings,New Orleans Pelicans,230,0.303030303030303,-285,New Orleans Pelicans,2024-02-07,0.69204986,1,0.38901955696969703,230.0
717,743,743,2023-12-16,Denver Nuggets vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,170,0.3703703703703703,-205,Oklahoma City Thunder,2023-12-16,0.7592426,1,0.3888722296296297,170.0
181,186,186,2023-11-06,Indiana Pacers vs San Antonio Spurs,draftkings,Indiana Pacers,-310,0.7560975609756098,250,Indiana Pacers,2023-11-06,0.36743417,1,-0.38866339097560976,-100.0
1968,2039,2039,2024-03-18,Sacramento Kings vs Memphis Grizzlies,draftkings,Sacramento Kings,-440,0.8148148148148148,340,Sacramento Kings,2024-03-18,0.4263173,1,-0.38849751481481476,-100.0
1876,1943,1943,2024-03-12,Memphis Grizzlies vs Washington Wizards,draftkings,Washington Wizards,-135,0.574468085106383,114,Washington Wizards,2024-03-12,0.18607952,0,-0.38838856510638303,114.0
792,822,822,2023-12-21,Portland Trail Blazers vs Washington Wizards,draftkings,Portland Trail Blazers,-162,0.6183206106870229,136,Portland Trail Blazers,2023-12-21,0.23063534,0,-0.38768527068702296,136.0
2289,2372,2372,2024-04-10,Cleveland Cavaliers vs Memphis Grizzlies,draftkings,Cleveland Cavaliers,-2100,0.9545454545454546,1100,Cleveland Cavaliers,2024-04-10,0.568206,1,-0.3863394545454546,-100.0
106,110,110,2023-11-01,Toronto Raptors vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-205,0.6721311475409836,170,Milwaukee Bucks,2023-11-01,0.2860042,0,-0.3861269475409836,170.0
1746,1809,1809,2024-03-03,Toronto Raptors vs Charlotte Hornets,draftkings,Toronto Raptors,-310,0.7560975609756098,250,Toronto Raptors,2024-03-03,0.37051833,1,-0.38557923097560975,-100.0
119,123,123,2023-11-01,Houston Rockets vs Charlotte Hornets,draftkings,Houston Rockets,-135,0.574468085106383,114,Houston Rockets,2023-11-01,0.18940523,1,-0.38506285510638305,-100.0
1886,1954,1954,2024-03-13,Detroit Pistons vs Toronto Raptors,draftkings,Detroit Pistons,-162,0.6183206106870229,136,Detroit Pistons,2024-03-13,0.2335329,1,-0.38478771068702294,-100.0
19,19,19,2023-10-25,Chicago Bulls vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,-108,0.5192307692307693,-112,Oklahoma City Thunder,2023-10-25,0.9040112,1,0.38478043076923074,92.5925925925926
967,1001,1001,2024-01-03,Minnesota Timberwolves vs New Orleans Pelicans,draftkings,New Orleans Pelicans,230,0.303030303030303,-278,New Orleans Pelicans,2024-01-03,0.6876292,1,0.38459889696969707,230.0
1892,1960,1960,2024-03-13,Memphis Grizzlies vs Charlotte Hornets,draftkings,Charlotte Hornets,-130,0.5652173913043478,110,Charlotte Hornets,2024-03-13,0.18115938,1,-0.3840580113043478,-100.0
738,766,766,2023-12-18,Atlanta Hawks vs Detroit Pistons,draftkings,Atlanta Hawks,-550,0.8461538461538461,410,Atlanta Hawks,2023-12-18,0.46250963,1,-0.38364421615384614,-100.0
239,246,246,2023-11-10,Memphis Grizzlies vs Utah Jazz,draftkings,Memphis Grizzlies,-185,0.6491228070175439,154,Memphis Grizzlies,2023-11-10,0.26638746,0,-0.38273534701754386,154.0
901,933,933,2023-12-29,Denver Nuggets vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,136,0.423728813559322,-162,Oklahoma City Thunder,2023-12-29,0.8063653,1,0.38263648644067794,136.0
103,107,107,2023-10-31,Los Angeles Clippers vs Orlando Magic,draftkings,Orlando Magic,240,0.2941176470588235,-298,Orlando Magic,2023-10-31,0.67645955,0,0.38234190294117654,-100.0
2248,2330,2330,2024-04-07,Phoenix Suns vs New Orleans Pelicans,draftkings,New Orleans Pelicans,210,0.3225806451612903,-258,New Orleans Pelicans,2024-04-07,0.7046072,1,0.3820265548387097,210.0
142,147,147,2023-11-03,Chicago Bulls vs Brooklyn Nets,draftkings,Chicago Bulls,-185,0.6491228070175439,154,Chicago Bulls,2023-11-03,0.2681408,0,-0.38098200701754387,154.0
750,778,778,2023-12-18,Sacramento Kings vs Washington Wizards,draftkings,Sacramento Kings,-675,0.8709677419354839,490,Sacramento Kings,2023-12-18,0.4908102,1,-0.3801575419354839,-100.0
156,161,161,2023-11-04,Indiana Pacers vs Charlotte Hornets,draftkings,Indiana Pacers,-162,0.6183206106870229,136,Indiana Pacers,2023-11-04,0.23819742,0,-0.38012319068702294,136.0
1203,1247,1247,2024-01-20,Washington Wizards vs San Antonio Spurs,draftkings,Washington Wizards,-135,0.574468085106383,114,Washington Wizards,2024-01-20,0.19469933,0,-0.379768755106383,114.0
2211,2291,2291,2024-04-05,Washington Wizards vs Portland Trail Blazers,draftkings,Washington Wizards,-130,0.5652173913043478,110,Washington Wizards,2024-04-05,0.18619432,0,-0.37902307130434776,110.0
389,401,401,2023-11-20,Golden State Warriors vs Houston Rockets,draftkings,Houston Rockets,240,0.2941176470588235,-298,Houston Rockets,2023-11-20,0.6727169,0,0.37859925294117647,-100.0
1220,1265,1265,2024-01-21,Houston Rockets vs Boston Celtics,draftkings,Houston Rockets,380,0.2083333333333333,-500,Houston Rockets,2024-01-21,0.5868844,0,0.3785510666666667,-100.0
418,431,431,2023-11-22,Minnesota Timberwolves vs Philadelphia 76ers,draftkings,Philadelphia 76ers,180,0.3571428571428571,-218,Philadelphia 76ers,2023-11-22,0.7353027,0,0.3781598428571429,-100.0
