,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,Opposing Odds
118,118,2023-11-01T12:00:00Z,Oklahoma City Thunder vs New Orleans Pelicans,draftkings,New Orleans Pelicans,136,0.423728813559322,-162
119,119,2023-11-01T12:00:00Z,Oklahoma City Thunder vs New Orleans Pelicans,draftkings,Oklahoma City Thunder,-162,0.6183206106870229,136
120,120,2023-11-01T12:00:00Z,Boston Celtics vs Indiana Pacers,draftkings,Boston Celtics,-625,0.8620689655172413,455
121,121,2023-11-01T12:00:00Z,Boston Celtics vs Indiana Pacers,draftkings,Indiana Pacers,455,0.18018018018018017,-625
122,122,2023-11-01T12:00:00Z,Houston Rockets vs Charlotte Hornets,draftkings,Charlotte Hornets,114,0.4672897196261682,-135
123,123,2023-11-01T12:00:00Z,Houston Rockets vs Charlotte Hornets,draftkings,Houston Rockets,-135,0.574468085106383,114
124,124,2023-11-01T12:00:00Z,Minnesota Timberwolves vs Denver Nuggets,draftkings,Denver Nuggets,-148,0.5967741935483871,124
125,125,2023-11-01T12:00:00Z,Minnesota Timberwolves vs Denver Nuggets,draftkings,Minnesota Timberwolves,124,0.44642857142857145,-148
126,126,2023-11-01T12:00:00Z,Dallas Mavericks vs Chicago Bulls,draftkings,Chicago Bulls,170,0.37037037037037035,-205
127,127,2023-11-01T12:00:00Z,Dallas Mavericks vs Chicago Bulls,draftkings,Dallas Mavericks,-205,0.6721311475409836,170
128,128,2023-11-01T12:00:00Z,Utah Jazz vs Memphis Grizzlies,draftkings,Memphis Grizzlies,120,0.45454545454545453,-142
129,129,2023-11-01T12:00:00Z,Utah Jazz vs Memphis Grizzlies,draftkings,Utah Jazz,-142,0.5867768595041323,120
130,130,2023-11-01T12:00:00Z,Los Angeles Lakers vs Los Angeles Clippers,draftkings,Los Angeles Clippers,164,0.3787878787878788,-198
131,131,2023-11-01T12:00:00Z,Los Angeles Lakers vs Los Angeles Clippers,draftkings,Los Angeles Lakers,-198,0.6644295302013423,164
132,132,2023-11-01T12:00:00Z,Golden State Warriors vs Sacramento Kings,draftkings,Golden State Warriors,-285,0.7402597402597403,230
133,133,2023-11-01T12:00:00Z,Golden State Warriors vs Sacramento Kings,draftkings,Sacramento Kings,230,0.30303030303030304,-285
134,134,2023-11-02T12:00:00Z,Philadelphia 76ers vs Toronto Raptors,draftkings,Philadelphia 76ers,-360,0.782608695652174,285
135,135,2023-11-02T12:00:00Z,Philadelphia 76ers vs Toronto Raptors,draftkings,Toronto Raptors,285,0.2597402597402597,-360
136,136,2023-11-02T12:00:00Z,New Orleans Pelicans vs Detroit Pistons,draftkings,Detroit Pistons,240,0.29411764705882354,-298
137,137,2023-11-02T12:00:00Z,New Orleans Pelicans vs Detroit Pistons,draftkings,New Orleans Pelicans,-298,0.7487437185929648,240
138,138,2023-11-02T12:00:00Z,Utah Jazz vs Orlando Magic,draftkings,Orlando Magic,-115,0.5348837209302325,-105
139,139,2023-11-02T12:00:00Z,Utah Jazz vs Orlando Magic,draftkings,Utah Jazz,-105,0.5121951219512195,-115
140,140,2023-11-02T12:00:00Z,Phoenix Suns vs San Antonio Spurs,draftkings,Phoenix Suns,-340,0.7727272727272727,270
141,141,2023-11-02T12:00:00Z,Phoenix Suns vs San Antonio Spurs,draftkings,San Antonio Spurs,270,0.2702702702702703,-340
