feature,delta_logloss,mean_loss,std_loss,stderr,z
FG3_PCT_OPP,-0.001793377254649342,0.6681697172393317,0.0008322591310224889,0.00037219759837223783,-4.818347196468933
FGA,-0.002341721377566497,0.6676213731164146,0.0011878887561289284,0.0005312400016823908,-4.408029083183626
FGA_OPP,0.0018487591431693984,0.6718118536371505,0.0008084035065582607,0.00036152903878269356,5.113722398052355
FGM,0.0019564405926618678,0.6719195350866429,0.0011892824874239654,0.000531863297266005,3.6784651295149953
FGM_OPP,6.565714557371649e-05,0.6700287516395548,0.0011227653548202304,0.0005021159312319413,0.13076092888076007
FG_PCT,0.00436042115621138,0.6743235156501924,0.0022137820728174006,0.0009900334404380194,4.4043170443638795
FG_PCT_OPP,0.002600675507066441,0.6725637700010475,0.0030388425111465022,0.0013590116855679481,1.9136520566264197
FTA,-0.0006198361736319269,0.6693432583203491,0.0005840738412432959,0.000261205762579886,-2.3729804714486686
FTA_OPP,-0.00011609056722949873,0.6698470039267516,0.00045790360490439167,0.00020478071754168517,-0.5669018480993814
FTM,0.0014186550398042064,0.6713817495337853,0.0007041613605583634,0.0003149105338674479,4.504946285478486
FTM_OPP,-0.00021779655357223593,0.6697452979404088,0.001037792044480192,0.0004641147115932389,-0.4692731088496888
FT_PCT,-0.000670146705833985,0.6692929477881471,0.000523106999580938,0.00023394056211378624,-2.8646024433677844
FT_PCT_OPP,-0.00014518535650420716,0.6698179091374769,0.0021197566261272212,0.0009479839823552147,-0.15315169792584685
FT_PER_FGA,0.0003285777275465751,0.6702916722215276,0.0009147762125061565,0.0004091003590727118,0.8031714474446967
FT_PER_FGA_OPP,0.0005529581161470842,0.6705160526101281,0.0006083945647838347,0.00027208232079961077,2.0323191691471165
HOME,-0.0020633627828807732,0.6678997317111003,0.0009749280830877532,0.0004360010933915558,-4.732471578982364
NET_RTG,0.007527042129276573,0.6774901366232576,0.0020637796317818833,0.0009229503094487552,8.15541427552281
NET_RTG_OPP,0.008824422713133107,0.6787875172071142,0.0028581213728191895,0.0012781907355137454,6.9038387370147
OFF_RTG,0.00298769982625835,0.6729507943202394,0.0013817432897815709,0.0006179343846811566,4.834979085683913
OFF_RTG_OPP,0.0021988908695090847,0.6721619853634901,0.0007685133136864412,0.00034368960220330035,6.397897566329021
OREB,-0.0007825644035918122,0.6691805300903892,0.000521053672456158,0.00023302228630757578,-3.358324287312472
OREB_OPP,0.00159562728818885,0.6715587217821699,0.0013615829199580508,0.0006089183932057713,2.6204287897896377
OREB_PCT,0.0007018038574276853,0.6706648983514087,0.000336990895365518,0.0001507069099671634,4.656746379980832
OREB_PCT_OPP,-4.612758684230389e-05,0.6699169669071388,0.003243456483667053,0.0014505178359083934,-0.03180077190392925
PACE,-0.0007690316045795287,0.6691940628894015,0.0010840222508323707,0.0004847894883967018,-1.5863207082374535
PACE_OPP,-8.965929723647736e-05,0.6698734351967446,0.0023743259923620042,0.0010618308639332174,-0.08443839813090645
PF,-0.002023405174573001,0.6679396893194081,0.0007528858991987776,0.00033670080998190425,-6.009504921243722
PF_OPP,0.0012939914288008225,0.6712570859227819,0.0011734889470108754,0.0005248002112721932,2.465683894570081
PLUS_MINUS,0.007122367001893282,0.6770854614958743,0.0029485526515927707,0.0013186328328397376,5.401326908078673
PLUS_MINUS_OPP,0.00849894707015142,0.6784620415641325,0.0008048034181015351,0.00035991903027984346,23.613497356734197
POSSESSIONS,0.0019526824993261194,0.6719157769933072,0.001509107542582381,0.0006748934101143725,2.8933198488265033
POSSESSIONS_OPP,0.0012027790844545416,0.6711658735784356,0.00069672442020896,0.0003115846330342725,3.860200269639879
PTS,0.0018718459492884643,0.6718349404432695,0.0012646852266193036,0.0005655844273720978,3.309578302899378
PTS_OPP,-0.0005860938824980844,0.669377000611483,0.0003721961577320689,0.00016645118193062797,-3.5211157752088016
REB,-0.005480874920293921,0.6644822195736871,0.0021794054629849825,0.0009746597531537645,-5.6233725693085495
REB_OPP,0.0009211060967564411,0.6708842005907375,0.0009375123817077182,0.0004192682830492376,2.1969372213358414
STL,0.002148212322784615,0.6721113068167657,0.002449271147601176,0.00109534735627303,1.9612156002220216
STL_OPP,0.00030464838224097956,0.670267742876222,0.001925163484245915,0.0008609592837148422,0.35384760696985756
TOV,0.0005999504917983955,0.6705630449857795,0.0018620078439995252,0.0008327152227641524,0.7204749900054581
TOV_OPP,0.0001389267485413237,0.6701020212425224,0.0009534681773105721,0.00042640393176985236,0.32581019589732146
TOV_PCT,-0.0006372361696777018,0.6693258583243034,0.0006347854789958975,0.00028388469643291837,-2.2447006749033407
TOV_PCT_OPP,-0.0008720344121200263,0.669091060081861,0.0009727142241266192,0.0004350110255656173,-2.0046259999644267
