Date,Matchup,Bookmaker,Team,Moneyline Odds
2023-10-30T12:00:00Z,Toronto Raptors vs Portland Trail Blazers,draftkings,Portland Trail Blazers,245
2023-10-30T12:00:00Z,Toronto Raptors vs Portland Trail Blazers,draftkings,Toronto Raptors,-305
2023-10-30T12:00:00Z,Memphis Grizzlies vs Dallas Mavericks,draftkings,Dallas Mavericks,-142
2023-10-30T12:00:00Z,Memphis Grizzlies vs Dallas Mavericks,draftkings,Memphis Grizzlies,120
2023-10-30T12:00:00Z,Oklahoma City Thunder vs Detroit Pistons,draftkings,Detroit Pistons,180
2023-10-30T12:00:00Z,Oklahoma City Thunder vs Detroit Pistons,draftkings,Oklahoma City Thunder,-218
2023-10-30T12:00:00Z,Milwaukee Bucks vs Miami Heat,draftkings,Miami Heat,170
2023-10-30T12:00:00Z,Milwaukee Bucks vs Miami Heat,draftkings,Milwaukee Bucks,-205
2023-10-30T12:00:00Z,New Orleans Pelicans vs Golden State Warriors,draftkings,Golden State Warriors,114
2023-10-30T12:00:00Z,New Orleans Pelicans vs Golden State Warriors,draftkings,New Orleans Pelicans,-135
2023-10-30T12:00:00Z,Denver Nuggets vs Utah Jazz,draftkings,Denver Nuggets,-340
2023-10-30T12:00:00Z,Denver Nuggets vs Utah Jazz,draftkings,Utah Jazz,270
2023-10-30T12:00:00Z,Los Angeles Lakers vs Orlando Magic,draftkings,Los Angeles Lakers,-155
2023-10-30T12:00:00Z,Los Angeles Lakers vs Orlando Magic,draftkings,Orlando Magic,130
2023-10-31T12:00:00Z,Cleveland Cavaliers vs New York Knicks,draftkings,Cleveland Cavaliers,124
2023-10-31T12:00:00Z,Cleveland Cavaliers vs New York Knicks,draftkings,New York Knicks,-148
2023-10-31T12:00:00Z,Phoenix Suns vs San Antonio Spurs,draftkings,Phoenix Suns,-310
2023-10-31T12:00:00Z,Phoenix Suns vs San Antonio Spurs,draftkings,San Antonio Spurs,250
2023-10-31T12:00:00Z,Los Angeles Clippers vs Orlando Magic,draftkings,Los Angeles Clippers,-298
2023-10-31T12:00:00Z,Los Angeles Clippers vs Orlando Magic,draftkings,Orlando Magic,240
2023-11-01T12:00:00Z,Detroit Pistons vs Portland Trail Blazers,draftkings,Detroit Pistons,-166
2023-11-01T12:00:00Z,Detroit Pistons vs Portland Trail Blazers,draftkings,Portland Trail Blazers,140
2023-11-01T12:00:00Z,Toronto Raptors vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-205
2023-11-01T12:00:00Z,Toronto Raptors vs Milwaukee Bucks,draftkings,Toronto Raptors,170
2023-11-01T12:00:00Z,Atlanta Hawks vs Washington Wizards,draftkings,Atlanta Hawks,-310
2023-11-01T12:00:00Z,Atlanta Hawks vs Washington Wizards,draftkings,Washington Wizards,250
2023-11-01T12:00:00Z,Miami Heat vs Brooklyn Nets,draftkings,Brooklyn Nets,195
2023-11-01T12:00:00Z,Miami Heat vs Brooklyn Nets,draftkings,Miami Heat,-238
2023-11-01T12:00:00Z,New York Knicks vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,225
2023-11-01T12:00:00Z,New York Knicks vs Cleveland Cavaliers,draftkings,New York Knicks,-278
2023-11-01T12:00:00Z,Oklahoma City Thunder vs New Orleans Pelicans,draftkings,New Orleans Pelicans,136
2023-11-01T12:00:00Z,Oklahoma City Thunder vs New Orleans Pelicans,draftkings,Oklahoma City Thunder,-162
2023-11-01T12:00:00Z,Boston Celtics vs Indiana Pacers,draftkings,Boston Celtics,-625
2023-11-01T12:00:00Z,Boston Celtics vs Indiana Pacers,draftkings,Indiana Pacers,455
2023-11-01T12:00:00Z,Houston Rockets vs Charlotte Hornets,draftkings,Charlotte Hornets,114
2023-11-01T12:00:00Z,Houston Rockets vs Charlotte Hornets,draftkings,Houston Rockets,-135
2023-11-01T12:00:00Z,Minnesota Timberwolves vs Denver Nuggets,draftkings,Denver Nuggets,-148
2023-11-01T12:00:00Z,Minnesota Timberwolves vs Denver Nuggets,draftkings,Minnesota Timberwolves,124
2023-11-01T12:00:00Z,Dallas Mavericks vs Chicago Bulls,draftkings,Chicago Bulls,170
2023-11-01T12:00:00Z,Dallas Mavericks vs Chicago Bulls,draftkings,Dallas Mavericks,-205
2023-11-01T12:00:00Z,Utah Jazz vs Memphis Grizzlies,draftkings,Memphis Grizzlies,120
2023-11-01T12:00:00Z,Utah Jazz vs Memphis Grizzlies,draftkings,Utah Jazz,-142
2023-11-01T12:00:00Z,Los Angeles Lakers vs Los Angeles Clippers,draftkings,Los Angeles Clippers,164
2023-11-01T12:00:00Z,Los Angeles Lakers vs Los Angeles Clippers,draftkings,Los Angeles Lakers,-198
2023-11-01T12:00:00Z,Golden State Warriors vs Sacramento Kings,draftkings,Golden State Warriors,-285
2023-11-01T12:00:00Z,Golden State Warriors vs Sacramento Kings,draftkings,Sacramento Kings,230
2023-11-02T12:00:00Z,Philadelphia 76ers vs Toronto Raptors,draftkings,Philadelphia 76ers,-360
2023-11-02T12:00:00Z,Philadelphia 76ers vs Toronto Raptors,draftkings,Toronto Raptors,285
2023-11-02T12:00:00Z,New Orleans Pelicans vs Detroit Pistons,draftkings,Detroit Pistons,240
2023-11-02T12:00:00Z,New Orleans Pelicans vs Detroit Pistons,draftkings,New Orleans Pelicans,-298
2023-11-02T12:00:00Z,Utah Jazz vs Orlando Magic,draftkings,Orlando Magic,-115
2023-11-02T12:00:00Z,Utah Jazz vs Orlando Magic,draftkings,Utah Jazz,-105
2023-11-02T12:00:00Z,Phoenix Suns vs San Antonio Spurs,draftkings,Phoenix Suns,-340
2023-11-02T12:00:00Z,Phoenix Suns vs San Antonio Spurs,draftkings,San Antonio Spurs,270
2023-11-03T12:00:00Z,Indiana Pacers vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,-148
2023-11-03T12:00:00Z,Indiana Pacers vs Cleveland Cavaliers,draftkings,Indiana Pacers,124
2023-11-03T12:00:00Z,Milwaukee Bucks vs New York Knicks,draftkings,Milwaukee Bucks,-250
2023-11-03T12:00:00Z,Milwaukee Bucks vs New York Knicks,draftkings,New York Knicks,205
2023-11-03T12:00:00Z,Chicago Bulls vs Brooklyn Nets,draftkings,Brooklyn Nets,154
2023-11-03T12:00:00Z,Chicago Bulls vs Brooklyn Nets,draftkings,Chicago Bulls,-185
2023-11-03T12:00:00Z,Oklahoma City Thunder vs Golden State Warriors,draftkings,Golden State Warriors,-218
2023-11-03T12:00:00Z,Oklahoma City Thunder vs Golden State Warriors,draftkings,Oklahoma City Thunder,180
2023-11-03T12:00:00Z,Miami Heat vs Washington Wizards,draftkings,Miami Heat,-440
2023-11-03T12:00:00Z,Miami Heat vs Washington Wizards,draftkings,Washington Wizards,340
2023-11-03T12:00:00Z,Denver Nuggets vs Dallas Mavericks,draftkings,Dallas Mavericks,220
2023-11-03T12:00:00Z,Denver Nuggets vs Dallas Mavericks,draftkings,Denver Nuggets,-270
2023-11-03T12:00:00Z,Portland Trail Blazers vs Memphis Grizzlies,draftkings,Memphis Grizzlies,-148
2023-11-03T12:00:00Z,Portland Trail Blazers vs Memphis Grizzlies,draftkings,Portland Trail Blazers,124
2023-11-04T12:00:00Z,Philadelphia 76ers vs Phoenix Suns,draftkings,Philadelphia 76ers,-162
2023-11-04T12:00:00Z,Philadelphia 76ers vs Phoenix Suns,draftkings,Phoenix Suns,136
2023-11-04T12:00:00Z,New Orleans Pelicans vs Atlanta Hawks,draftkings,Atlanta Hawks,124
2023-11-04T12:00:00Z,New Orleans Pelicans vs Atlanta Hawks,draftkings,New Orleans Pelicans,-148
2023-11-04T12:00:00Z,Indiana Pacers vs Charlotte Hornets,draftkings,Charlotte Hornets,136
2023-11-04T12:00:00Z,Indiana Pacers vs Charlotte Hornets,draftkings,Indiana Pacers,-162
2023-11-04T12:00:00Z,Orlando Magic vs Los Angeles Lakers,draftkings,Los Angeles Lakers,-166
2023-11-04T12:00:00Z,Orlando Magic vs Los Angeles Lakers,draftkings,Orlando Magic,140
2023-11-04T12:00:00Z,Houston Rockets vs Sacramento Kings,draftkings,Houston Rockets,130
2023-11-04T12:00:00Z,Houston Rockets vs Sacramento Kings,draftkings,Sacramento Kings,-155
2023-11-04T12:00:00Z,Brooklyn Nets vs Boston Celtics,draftkings,Boston Celtics,-455
2023-11-04T12:00:00Z,Brooklyn Nets vs Boston Celtics,draftkings,Brooklyn Nets,350
2023-11-04T12:00:00Z,Minnesota Timberwolves vs Utah Jazz,draftkings,Minnesota Timberwolves,-290
2023-11-04T12:00:00Z,Minnesota Timberwolves vs Utah Jazz,draftkings,Utah Jazz,235
2023-11-04T12:00:00Z,Denver Nuggets vs Chicago Bulls,draftkings,Chicago Bulls,310
2023-11-04T12:00:00Z,Denver Nuggets vs Chicago Bulls,draftkings,Denver Nuggets,-395
2023-11-05T12:00:00Z,Detroit Pistons vs Phoenix Suns,draftkings,Detroit Pistons,190
2023-11-05T12:00:00Z,Detroit Pistons vs Phoenix Suns,draftkings,Phoenix Suns,-230
2023-11-05T12:00:00Z,San Antonio Spurs vs Toronto Raptors,draftkings,San Antonio Spurs,130
2023-11-05T12:00:00Z,San Antonio Spurs vs Toronto Raptors,draftkings,Toronto Raptors,-155
2023-11-05T12:00:00Z,Cleveland Cavaliers vs Golden State Warriors,draftkings,Cleveland Cavaliers,-118
2023-11-05T12:00:00Z,Cleveland Cavaliers vs Golden State Warriors,draftkings,Golden State Warriors,-102
2023-11-05T12:00:00Z,Dallas Mavericks vs Charlotte Hornets,draftkings,Charlotte Hornets,440
2023-11-05T12:00:00Z,Dallas Mavericks vs Charlotte Hornets,draftkings,Dallas Mavericks,-600
2023-11-05T12:00:00Z,Portland Trail Blazers vs Memphis Grizzlies,draftkings,Memphis Grizzlies,-142
2023-11-05T12:00:00Z,Portland Trail Blazers vs Memphis Grizzlies,draftkings,Portland Trail Blazers,120
2023-11-06T12:00:00Z,Orlando Magic vs Dallas Mavericks,draftkings,Dallas Mavericks,100
2023-11-06T12:00:00Z,Orlando Magic vs Dallas Mavericks,draftkings,Orlando Magic,-120
2023-11-06T12:00:00Z,Detroit Pistons vs Golden State Warriors,draftkings,Detroit Pistons,200
2023-11-06T12:00:00Z,Detroit Pistons vs Golden State Warriors,draftkings,Golden State Warriors,-245
2023-11-06T12:00:00Z,Indiana Pacers vs San Antonio Spurs,draftkings,Indiana Pacers,-310
2023-11-06T12:00:00Z,Indiana Pacers vs San Antonio Spurs,draftkings,San Antonio Spurs,250
2023-11-06T12:00:00Z,Philadelphia 76ers vs Washington Wizards,draftkings,Philadelphia 76ers,-625
2023-11-06T12:00:00Z,Philadelphia 76ers vs Washington Wizards,draftkings,Washington Wizards,455
2023-11-06T12:00:00Z,Brooklyn Nets vs Milwaukee Bucks,draftkings,Brooklyn Nets,180
2023-11-06T12:00:00Z,Brooklyn Nets vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-218
2023-11-06T12:00:00Z,New York Knicks vs Los Angeles Clippers,draftkings,Los Angeles Clippers,-130
2023-11-06T12:00:00Z,New York Knicks vs Los Angeles Clippers,draftkings,New York Knicks,110
2023-11-06T12:00:00Z,Miami Heat vs Los Angeles Lakers,draftkings,Los Angeles Lakers,-102
2023-11-06T12:00:00Z,Miami Heat vs Los Angeles Lakers,draftkings,Miami Heat,-118
2023-11-06T12:00:00Z,Oklahoma City Thunder vs Atlanta Hawks,draftkings,Atlanta Hawks,-166
2023-11-06T12:00:00Z,Oklahoma City Thunder vs Atlanta Hawks,draftkings,Oklahoma City Thunder,140
2023-11-06T12:00:00Z,Minnesota Timberwolves vs Boston Celtics,draftkings,Boston Celtics,-170
2023-11-06T12:00:00Z,Minnesota Timberwolves vs Boston Celtics,draftkings,Minnesota Timberwolves,142
2023-11-06T12:00:00Z,Chicago Bulls vs Utah Jazz,draftkings,Chicago Bulls,-175
2023-11-06T12:00:00Z,Chicago Bulls vs Utah Jazz,draftkings,Utah Jazz,145
2023-11-06T12:00:00Z,Houston Rockets vs Sacramento Kings,draftkings,Houston Rockets,-125
2023-11-06T12:00:00Z,Houston Rockets vs Sacramento Kings,draftkings,Sacramento Kings,105
2023-11-06T12:00:00Z,Denver Nuggets vs New Orleans Pelicans,draftkings,Denver Nuggets,-238
2023-11-06T12:00:00Z,Denver Nuggets vs New Orleans Pelicans,draftkings,New Orleans Pelicans,195
2023-11-08T12:00:00Z,Philadelphia 76ers vs Boston Celtics,draftkings,Boston Celtics,-135
2023-11-08T12:00:00Z,Philadelphia 76ers vs Boston Celtics,draftkings,Philadelphia 76ers,114
2023-11-08T12:00:00Z,Charlotte Hornets vs Washington Wizards,draftkings,Charlotte Hornets,-148
2023-11-08T12:00:00Z,Charlotte Hornets vs Washington Wizards,draftkings,Washington Wizards,124
2023-11-08T12:00:00Z,Indiana Pacers vs Utah Jazz,draftkings,Indiana Pacers,-245
2023-11-08T12:00:00Z,Indiana Pacers vs Utah Jazz,draftkings,Utah Jazz,200
2023-11-08T12:00:00Z,Brooklyn Nets vs Los Angeles Clippers,draftkings,Brooklyn Nets,154
2023-11-08T12:00:00Z,Brooklyn Nets vs Los Angeles Clippers,draftkings,Los Angeles Clippers,-185
2023-11-08T12:00:00Z,New York Knicks vs San Antonio Spurs,draftkings,New York Knicks,-410
2023-11-08T12:00:00Z,New York Knicks vs San Antonio Spurs,draftkings,San Antonio Spurs,320
2023-11-08T12:00:00Z,Chicago Bulls vs Phoenix Suns,draftkings,Chicago Bulls,-112
2023-11-08T12:00:00Z,Chicago Bulls vs Phoenix Suns,draftkings,Phoenix Suns,-108
2023-11-08T12:00:00Z,Oklahoma City Thunder vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,-135
2023-11-08T12:00:00Z,Oklahoma City Thunder vs Cleveland Cavaliers,draftkings,Oklahoma City Thunder,114
2023-11-08T12:00:00Z,Milwaukee Bucks vs Detroit Pistons,draftkings,Detroit Pistons,525
2023-11-08T12:00:00Z,Milwaukee Bucks vs Detroit Pistons,draftkings,Milwaukee Bucks,-750
2023-11-08T12:00:00Z,Houston Rockets vs Los Angeles Lakers,draftkings,Houston Rockets,120
2023-11-08T12:00:00Z,Houston Rockets vs Los Angeles Lakers,draftkings,Los Angeles Lakers,-142
2023-11-08T12:00:00Z,Minnesota Timberwolves vs New Orleans Pelicans,draftkings,Minnesota Timberwolves,-290
2023-11-08T12:00:00Z,Minnesota Timberwolves vs New Orleans Pelicans,draftkings,New Orleans Pelicans,235
2023-11-08T12:00:00Z,Memphis Grizzlies vs Miami Heat,draftkings,Memphis Grizzlies,114
2023-11-08T12:00:00Z,Memphis Grizzlies vs Miami Heat,draftkings,Miami Heat,-135
2023-11-08T12:00:00Z,Dallas Mavericks vs Toronto Raptors,draftkings,Dallas Mavericks,-218
2023-11-08T12:00:00Z,Dallas Mavericks vs Toronto Raptors,draftkings,Toronto Raptors,180
2023-11-08T12:00:00Z,Denver Nuggets vs Golden State Warriors,draftkings,Denver Nuggets,-166
2023-11-08T12:00:00Z,Denver Nuggets vs Golden State Warriors,draftkings,Golden State Warriors,140
2023-11-08T12:00:00Z,Sacramento Kings vs Portland Trail Blazers,draftkings,Portland Trail Blazers,260
2023-11-08T12:00:00Z,Sacramento Kings vs Portland Trail Blazers,draftkings,Sacramento Kings,-325
2023-11-09T12:00:00Z,Indiana Pacers vs Milwaukee Bucks,draftkings,Indiana Pacers,150
